"","expression"
"1","1.9 percent"
"2","99 percent"
"3","0.5 percent"
"4","0.1 percent"
"5","0.2 percent"
"6","0.4 percent"
"7","0.6 percent"
"8","14 percent"
"9","13 percent"
"10","20 percent"
"11","50 percent"
"12","0.01 percent"
"13","2 percent"
"14","0.7 percent"
"15","35 percent"
"16","3.0 percent"
"17","five percent"
"18","12.3 percent"
"19","one percentage point"
"20","6.2 percent"
"21","4.2 percent"
"22","21.7 percent"
"23","5.2 percent"
"24","1.8 percent"
"25","9 percent"
"26","few percent"
"27","5 percent"
"28","39.4 percent"
"29","39.6 percent"
"30","13.9 percent"
"31","17.5 percent"
"32","22 percent"
"33","6.7 percent"
"34","28.2 percent"
"35","2.19 percent"
"36","0.3 percent"
"37","7.7 percent"
"38","9.2 percent"
"39","50.7 percent"
"40","1.2 percentage points"
"41","49.5 percent"
"42","50.3 percent"
"43","52.6 percent"
"44","1.1 percentage points"
"45","52.7 percent"
"46","4.3 percentage points"
"47","51.5 percent"
"48","lower percent"
"49","a percent"
"50","51 percent"
"51","2.5 percent"
"52","nine percent"
"53","three percent"
"54","11 percent"
"55","5.3 percent"
"56","7.8 percent"
"57","1.7 percent"
"58","-to-four percent"
"59","13.5 percent"
"60","42 percent"
"61","90 percent"
"62","49 percent"
"63","98 percent"
"64","97 percent"
"65","25 percent"
"66","31 percent"
"67","6 percent"
"68","3 percent"
"69","2.8 percent"
"70","28.3 percent"
"71","6.5 percent"
"72","6-1/2 percent"
"73","2-1/2 percent"
"74","half percentage point"
"75","1/4 percent"
"76","26.4 percent"
"77","26.9 percent"
"78","16 percent"
"79","15 percent"
"80","10 percent"
"81","7.6 percent"
"82","1.6 percent"
"83","1.2 percent"
"84","4.9 percent"
"85","2.1 percent"
"86","60 percent"
"87","2.6 percent"
"88","0.1 percentage point"
"89","43 percent"
"90","33 percent"
"91","215 percent"
"92","189 percent"
"93","44 percent"
"94","30% percent"
"95","0.0 percent"
"96","7 percent"
"97","100 percent"
"98","7.1 percent"
"99","23 percent"
"100","78 percent"
"101","2.2 percent"
"102","17 percent"
"103","4.5 percent"
"104","4.01 percent"
"105","65 percent"
"106","7 percentage points"
"107","0.52 percentage point"
"108","1.91 percent"
"109","8.3 percent"
"110","4 percent"
"111","30 percent"
"112","75 percent"
"113","9.4 percent"
"114","29 percent"
"115","7.2 percent"
"116","8 percent"
"117","34 percent"
"118","36 percent"
"119","33 percentage points"
"120","1.4 percent"
"121","0.8 percent"
"122","1.94 percent"
"123","20.2 percent"
"124","1.3 percent"
"125","37.8 percent"
"126","5.1 percent"
"127","2.3 percent"
"128","90- percent"
"129","6.0 percent"
"130","0.2 percentage point"
"131","10.5 percent"
"132","21 percent"
"133","40 percent"
"134","38 percent"
"135","3.2 percent"
"136","3.1 percent"
"137","46.3 percent"
"138","16.5 percent"
"139","7.9 percent"
"140","zero percent"
"141","9.7 percent"
"142","0.38%"
"143","0.31%"
"144","3.8 percent"
"145","at4 percent"
"146","5 percentage points"
"147","15.32 percent"
"148","8.2 percent"
"149","74 percent"
"150","2.4 percent"
"151","8.1 percent"
"152","80 percent"
"153","9.3 percent"
"154","7.5 percent"
"155","39.1 percent"
"156","weekly percent"
"157","37.9 percent"
"158","53 percent"
"159","12 percent"
"160","hundred percent"
"161","7.4 percent"
"162","six percent"
"163","7.0 percent"
"164","0.2 percentage points"
"165","9-10 percent"
"166","1-4 percent"
"167","2-7 percent"
"168","2-3 percent"
"169","4-5 percent"
"170","3-5 percent"
"171","1 percent"
"172","4 percentage points"
"173","17.7 percent"
"174","34.8 percent"
"175","29.7 percent"
"176","66 percent"
"177","19 percent"
"178","19.2 percent"
"179","52 percent"
"180","165 percent"
"181","was7.8 percent"
"182","26.6 percent"
"183","5.9 percent"
"184","1.1 percent"
"185","9.6 percent"
"186","3.9 percent"
"187","27 percent"
"188","92 percent"
"189","41 percent"
"190","55 percent"
"191","6.4 percent"
"192","7.3 percent"
"193","3.5 percent"
"194","9.1 percent"
"195","6.3 percent"
"196","14.1 percent"
"197","18 percent"
"198","6.9 percent"
"199","0.61 percent"
"200","0 percent"
"201","2.9 percent"
